2,0,0,0,0,2,2,5,0
4,2,0,0,6,2,4,9,0
0,2,0,0,6,0,4,6,0
2,0,0,0,0,0,2,8,0
6,0,0,0,8,0,0,6,4
2,2,2,0,2,0,0,6,2
0,4,0,0,2,2,4,6,4
4,0,0,0,2,0,2,6,0
8,6,0,0,3,0,0,4,4
6,8,0,0,4,0,0,4,6
6,0,4,0,4,0,0,6,4
6,0,4,0,6,0,2,5,4
0,0,0,0,4,0,2,2,2
2,0,0,0,8,0,0,4,0
2,2,0,0,4,0,0,4,4
6,2,2,0,6,2,0,6,2
6,0,0,0,2,2,6,8,0
6,2,0,0,2,0,6,6,2
2,0,2,0,2,0,6,8,2
8,4,4,2,0,0,8,4,4
2,0,0,0,4,0,0,6,0
4,2,0,4,4,0,4,2,0
0,0,0,0,2,0,2,8,2
8,0,0,0,10,0,0,4,4
1,0,0,0,0,0,0,2,0
0,0,0,0,2,0,0,5,0
4,2,2,0,4,0,8,2,0
4,2,2,0,2,0,10,4,2
4,4,0,0,6,0,0,8,2
4,2,2,2,6,0,0,6,4
2,2,0,0,4,0,0,0,2
4,0,0,0,6,0,0,2,0
4,2,0,0,4,0,0,2,0
2,2,0,0,9,0,2,2,0
4,0,0,2,6,0,4,8,6
4,0,0,0,2,0,2,12,4
0,0,2,0,8,0,0,4,4
4,0,0,0,0,0,0,4,0
0,4,2,0,4,0,2,2,2
2,0,2,0,4,0,2,4,2
4,0,2,0,4,0,0,6,4
0,0,0,0,2,0,0,6,4
0,0,0,0,4,0,0,2,0
0,0,0,0,6,0,0,2,0
0,0,0,0,2,0,0,4,0
2,0,0,0,4,0,0,4,2
4,2,0,0,4,0,4,6,4
2,0,0,0,2,0,0,4,2
4,0,0,0,4,0,2,4,0
6,0,0,0,8,0,0,4,2
2,2,0,0,4,0,6,6,0
2,0,0,0,6,0,4,10,0
0,0,0,0,2,0,2,6,0
0,0,0,0,6,0,4,0,0
6,2,0,2,4,0,2,4,2
8,4,2,0,4,0,2,8,0
14,0,0,0,5,0,0,4,2
6,6,0,0,4,0,0,4,2
2,0,0,0,7,0,2,6,0
0,0,0,0,6,0,4,4,0
4,0,0,0,4,0,0,8,0
0,0,0,0,6,0,2,4,4
10,4,0,0,6,0,0,10,4
6,2,2,0,8,2,0,12,4
2,0,0,0,10,0,4,6,0
2,0,0,0,8,0,6,4,2
10,2,0,0,14,0,0,6,2
8,4,0,0,8,0,0,6,4
2,0,0,0,2,0,0,4,0
0,2,0,0,2,0,0,4,2
0,0,0,0,2,0,0,2,0
2,0,0,0,4,0,0,4,2
4,4,4,0,2,2,4,6,6
0,0,0,0,0,0,0,8,0
4,0,0,0,2,0,2,9,2
4,2,0,4,2,0,0,9,4
4,0,0,0,0,0,0,7,2
8,0,0,0,0,0,0,5,0
4,0,0,0,4,0,0,6,0
4,0,0,0,0,0,0,6,0
